date,source,medium,campaign,device,sessions,users,pageviews,conversions,revenue
2026-03-17,direct,organic,seo_growth,tablet,1076,769,4304,19,19589
2026-03-17,direct,organic,lead_gen_q1,desktop,803,693,2409,49,31115
2026-03-17,facebook,referral,lead_gen_q1,desktop,282,238,564,11,9020
2026-03-18,newsletter,email,seo_growth,tablet,372,308,1488,14,7980
2026-03-18,linkedin,none,brand_awareness,mobile,1431,1048,4293,51,36618
2026-03-18,newsletter,none,saas_demo,desktop,277,243,554,53,33178
2026-03-18,google,paid,saas_demo,tablet,744,638,1488,22,25520
2026-03-18,newsletter,email,lead_gen_q1,tablet,154,133,616,24,17040
2026-03-19,linkedin,none,brand_awareness,mobile,902,684,1804,55,78045
2026-03-19,google,referral,saas_demo,mobile,593,474,2372,9,9360
2026-03-19,newsletter,paid,brand_awareness,mobile,892,777,3568,31,27094
2026-03-19,google,organic,brand_awareness,tablet,134,109,268,21,15120
2026-03-19,direct,none,seo_growth,tablet,686,566,2744,54,49950
2026-03-20,facebook,organic,lead_gen_q1,mobile,1198,967,2396,22,12870
2026-03-20,google,referral,brand_awareness,tablet,1198,916,4792,45,57645
2026-03-20,direct,email,seo_growth,desktop,588,418,1176,32,19776
2026-03-20,google,paid,seo_growth,mobile,1464,1241,5856,16,9952
2026-03-20,facebook,paid,saas_demo,mobile,1116,993,4464,38,49438
2026-03-21,google,referral,brand_awareness,desktop,650,550,1300,54,76734
2026-03-21,google,none,brand_awareness,tablet,1172,835,4688,41,46822
2026-03-21,linkedin,referral,seo_growth,tablet,837,595,3348,15,13140
2026-03-21,google,organic,seo_growth,mobile,1480,1249,2960,52,53092
2026-03-21,google,email,brand_awareness,mobile,194,154,582,14,9562
2026-03-22,google,email,saas_demo,mobile,759,568,3036,25,19425
2026-03-22,newsletter,organic,brand_awareness,mobile,1128,941,2256,16,11648
2026-03-22,newsletter,none,seo_growth,desktop,1052,918,3156,25,14700
2026-03-22,linkedin,none,saas_demo,tablet,510,386,1530,52,59124
2026-03-22,newsletter,paid,lead_gen_q1,mobile,1110,998,2220,51,72522
2026-03-23,google,referral,seo_growth,tablet,939,661,3756,27,31077
2026-03-23,linkedin,email,lead_gen_q1,desktop,870,756,3480,24,14544
2026-03-23,google,organic,lead_gen_q1,tablet,1107,987,2214,50,39300
2026-03-23,google,email,seo_growth,tablet,945,793,2835,34,50898
2026-03-23,newsletter,organic,brand_awareness,tablet,373,308,1119,9,9954
2026-03-24,direct,referral,saas_demo,desktop,367,274,1101,59,48498
2026-03-24,newsletter,organic,lead_gen_q1,mobile,656,489,1312,13,16874
2026-03-24,newsletter,referral,lead_gen_q1,desktop,436,344,1308,31,19313
2026-03-24,facebook,email,seo_growth,mobile,731,579,1462,10,6610
2026-03-24,facebook,none,seo_growth,tablet,771,562,3084,20,29820
2026-03-25,direct,none,lead_gen_q1,mobile,712,535,1424,6,8844
2026-03-25,google,paid,lead_gen_q1,mobile,1046,753,2092,12,6144
2026-03-25,newsletter,email,saas_demo,mobile,920,712,3680,46,26956
2026-03-25,linkedin,organic,saas_demo,mobile,144,129,288,46,43884
2026-03-25,newsletter,none,brand_awareness,desktop,187,166,374,15,21690
2026-03-26,linkedin,paid,saas_demo,desktop,160,124,480,16,13792
2026-03-26,newsletter,paid,saas_demo,desktop,1013,888,2026,44,49896
2026-03-26,facebook,none,lead_gen_q1,desktop,943,826,2829,8,4712
2026-03-26,newsletter,organic,brand_awareness,tablet,508,420,2032,20,22900
2026-03-26,newsletter,email,saas_demo,desktop,835,664,2505,27,38718
2026-03-27,google,referral,seo_growth,desktop,653,480,1959,43,31132
2026-03-27,linkedin,organic,lead_gen_q1,tablet,1184,913,4736,19,28443
2026-03-27,linkedin,email,brand_awareness,desktop,593,446,2372,8,10256
2026-03-27,facebook,email,seo_growth,tablet,455,334,1820,25,33125
2026-03-27,linkedin,none,saas_demo,mobile,820,729,3280,14,15064
2026-03-28,linkedin,organic,brand_awareness,mobile,1104,781,2208,19,21204
2026-03-28,facebook,paid,saas_demo,mobile,779,688,1558,56,35448
2026-03-28,google,email,saas_demo,mobile,144,105,576,14,18088
2026-03-28,google,referral,saas_demo,desktop,865,727,3460,30,33000
2026-03-28,direct,referral,lead_gen_q1,tablet,379,339,1516,32,41920
2026-03-29,linkedin,email,lead_gen_q1,desktop,1250,1048,5000,55,47575
2026-03-29,google,email,brand_awareness,tablet,728,616,2184,13,8853
2026-03-29,newsletter,paid,seo_growth,desktop,166,122,498,56,83440
2026-03-29,facebook,paid,seo_growth,tablet,388,297,776,20,17100
2026-03-29,facebook,paid,lead_gen_q1,tablet,1472,1218,4416,33,16863
2026-03-30,google,none,brand_awareness,tablet,238,183,476,51,25551
2026-03-30,direct,referral,brand_awareness,mobile,959,857,2877,36,50472
2026-03-30,linkedin,paid,brand_awareness,mobile,1081,927,4324,46,58696
2026-03-30,google,organic,saas_demo,mobile,168,127,504,21,30954
2026-03-30,google,referral,brand_awareness,tablet,868,635,1736,40,58560
2026-03-31,direct,paid,seo_growth,mobile,163,128,652,15,16815
2026-03-31,newsletter,email,saas_demo,tablet,778,576,1556,31,37603
2026-03-31,newsletter,email,brand_awareness,mobile,676,513,1352,8,7216
2026-03-31,newsletter,none,lead_gen_q1,mobile,211,162,633,10,8010
2026-03-31,google,none,seo_growth,desktop,152,112,608,23,34500
